company_id,department,transaction_type,amount,description,transaction_date
68a123456789abcdef123456,Production,revenue,185000,Product sales - Batch 01,2026-08-01
68a123456789abcdef123456,Production,expense,45000,Production cost - Batch 01,2026-08-01
68a123456789abcdef123456,Sales,revenue,245000,Customer sales - Batch 02,2026-08-02
68a123456789abcdef123456,Inventory,expense,38000,Warehouse and inventory operations,2026-08-03
68a123456789abcdef123456,Production,expense,52000,Production cost - Batch 02,2026-08-04
68a123456789abcdef123456,Sales,revenue,310000,Customer sales - Batch 03,2026-08-05
68a123456789abcdef123456,Raw Materials,expense,92000,Raw material procurement,2026-08-06
68a123456789abcdef123456,Sales,revenue,275000,Customer sales - Batch 04,2026-08-07
68a123456789abcdef123456,Production,expense,61000,Production cost - Batch 03,2026-08-08
68a123456789abcdef123456,Administration,expense,28000,Administrative expenses,2026-08-09
68a123456789abcdef123456,Sales,revenue,335000,Customer sales - Batch 05,2026-08-10
68a123456789abcdef123456,Raw Materials,expense,76000,Steel and alloy procurement,2026-08-11
