company_id,product_id,product_name,planned_quantity,actual_quantity,defective_quantity,production_cost,production_date
68a123456789abcdef123456,P001,Automotive Bolt,1000,950,25,45000,2026-08-01
68a123456789abcdef123456,P002,Automotive Nut,1500,1430,30,52000,2026-08-02
68a123456789abcdef123456,P003,Brake Pin,800,780,12,38000,2026-08-03
68a123456789abcdef123456,P004,Steel Washer,2000,1920,45,42000,2026-08-04
68a123456789abcdef123456,P005,Engine Mount,600,570,8,68000,2026-08-05
68a123456789abcdef123456,P001,Automotive Bolt,1200,1160,18,54000,2026-08-06
68a123456789abcdef123456,P002,Automotive Nut,1700,1600,42,59000,2026-08-07
68a123456789abcdef123456,P003,Brake Pin,900,810,20,43000,2026-08-08
68a123456789abcdef123456,P004,Steel Washer,2200,2140,35,47000,2026-08-09
68a123456789abcdef123456,P005,Engine Mount,700,665,10,75000,2026-08-10
